Requirements for the B.A. in Art,http://catalogue.uci.edu/clairetrevorschoolofthearts/departmentofart/#majortext,"Art, B.A"
Requirements for the B.A. in Dance,http://catalogue.uci.edu/clairetrevorschoolofthearts/departmentofdance/#majortext,"Dance, B.A."
Requirements for the B.F.A. in Dance,http://catalogue.uci.edu/clairetrevorschoolofthearts/departmentofdance/#majortext,Requirements for the B.F.A. in Dance
Requirements for the B.A. in Drama,http://catalogue.uci.edu/clairetrevorschoolofthearts/departmentofdrama/#majortext,"Drama, B.A"
Requirements for the B.F.A. in Music Theatre,http://catalogue.uci.edu/clairetrevorschoolofthearts/departmentofdrama/#majortext,Requirements for the B.F.A. in Music Theatre
Requirements for the Minor in Drama,http://catalogue.uci.edu/clairetrevorschoolofthearts/departmentofdrama/#majortext,Requirements for the Minor in Drama
Requirements for the Bachelor's Degree in Music,http://catalogue.uci.edu/clairetrevorschoolofthearts/departmentofmusic/#majortext,Requirements for the Bachelor's Degree in Music
Additional Requirements for the Bachelor of Music Degree,http://catalogue.uci.edu/clairetrevorschoolofthearts/departmentofmusic/#majortext,Additional Requirements for the Bachelor of Music Degree
Requirements for the B.A. in Art,http://catalogue.uci.edu/clairetrevorschoolofthearts/departmentofart/#digitalartsminortext,Requirements for the B.A. in Art
Requirements for the B.S. in Biological Sciences,http://catalogue.uci.edu/schoolofbiologicalsciences/#majortext,"Biological Sciences, B.S."
Requirements for the B.S. in Exercise Sciences,http://catalogue.uci.edu/schoolofbiologicalsciences/#majortext,"Exercise Sciences, B.S."
Requirements for the B.S. in Human Biology,http://catalogue.uci.edu/schoolofbiologicalsciences/#majortext,"Human Biology, B.S."
Requirements for the B.S. in Biology/Education,http://catalogue.uci.edu/schoolofbiologicalsciences/#majortext,Requirements for the B.S. in Biology/Education
Requirements for the Minor in Biological Sciences,http://catalogue.uci.edu/schoolofbiologicalsciences/#majortext,Requirements for the Minor in Biological Sciences
Requirements for the B.S. in Biological Sciences,http://catalogue.uci.edu/schoolofbiologicalsciences/#biologicalminor,Biological Sciences
Requirements for the B.S. in Biology/Education,http://catalogue.uci.edu/schoolofbiologicalsciences/#biologicalminor,Requirements for the B.S. in Biology/Education
Requirements for the B.S. in Exercise Sciences,http://catalogue.uci.edu/schoolofbiologicalsciences/#biologicalminor,Requirements for the B.S. in Exercise Sciences
Requirements for the B.S. in Human Biology,http://catalogue.uci.edu/schoolofbiologicalsciences/#biologicalminor,Requirements for the B.S. in Human Biology
Requirements for the Minor in Biological Sciences,http://catalogue.uci.edu/schoolofbiologicalsciences/#biologicalminor,Requirements for the Minor in Biological Sciences
Requirements for the B.A. in Business Administration,http://catalogue.uci.edu/thepaulmerageschoolofbusiness/undergraduateprograms/#majorstext,"Business Administration, B.A."
